streamer_name,followers
Grimmmz,1058459
scump,1715168
NICKMERCS,6719939
forsen,1756210
LIRIK,2972060
Jerma985,1454523
Sykkuno,3933242
CohhCarnage,1579947
Maximilian_DOOD,1294122
Wismichu,1328143
shroud,10961735
POW3R,1990533
Beaulo,1263565
EsfandTV,1374785
ELoTRiX,1630918
ohnePixel,1325887
Slimecicle,1282758
awesamdude,1165506
MrSoki,917917
TheGrefg,11987449
HandOfBlood,1147904
Sardoche,1253773
stylishnoob4,1059617
Roier,2436143
calango,1534849
Otzdarva,1026239
JaggerPrincesa,1390044
MenosTrece,1214864
Pengu,996987
aceu,2888072
Mayichi,1756239
Mizkif,2106532
LuluLuvely,1340200
vei,1063323
bratishkinoff,2964342
SmallAnt,1396493
Duke,2237720
RakanooLive,1704055
MOONMOON,1195235
moistcr1tikal,5459066
knekro,1148799
HoneyPuu,978909
39daph,1207714
ironmouse,2004315
eliasn97,1898983
skywhywalker,909569
sashagrey,1208247
XANDAOOGOD,1082100
AdrianaChechik_,871635
KaiCenat,12038958
